Date,Ticker,Open,High,Low,Close,Volume
2000-01-03,EBAY,6.0722100596868,6.6146837891345,5.47723892712524,6.5913519859314,116192102
2000-01-04,EBAY,6.32303117988345,6.53593790237913,5.92638333483156,5.97304821014404,80316403
2000-01-05,EBAY,5.65806350821095,6.48635698556756,5.61139947416235,6.37261295318604,104891846
2000-01-06,EBAY,6.25011754801089,6.87717094124558,6.08679239467051,6.29386615753174,104893747
2000-01-07,EBAY,6.25303535285415,6.47469174322046,6.02846269816416,6.2880334854126,51260774
2000-01-10,EBAY,6.58260076703939,6.80134040163713,6.53302048248012,6.63801527023315,59533056
2000-01-11,EBAY,6.62634944096825,6.76634235180605,6.27636568353698,6.4951057434082,53849664
2000-01-12,EBAY,6.4221922035979,6.49218929602379,6.045960369529,6.08387517929077,50848301
2000-01-13,EBAY,6.22970261693099,6.45719192495496,6.15970551635121,6.43094301223755,45824486
2000-01-14,EBAY,6.53885347853212,6.71676163156896,6.18595385903164,6.24428462982178,55461542
2000-01-18,EBAY,6.1188753127126,6.54760510694649,6.11595904820573,6.509690284729,42982790
2000-01-19,EBAY,6.49219048274295,6.74301161031913,6.39302862193593,6.70801305770874,42939072
2000-01-20,EBAY,6.76051067476253,7.26506960113831,6.71676248537052,7.22715520858765,99018374
2000-01-21,EBAY,7.15132579516032,7.40797987361946,6.95883460188578,7.02299833297729,54334368
2000-01-24,EBAY,7.04049722014821,7.04633101719508,6.2238692571836,6.36386346817017,65153722
2000-01-25,EBAY,6.49218995156196,6.76634328412979,6.24136842155415,6.41635990142822,86341939
2000-01-26,EBAY,6.84217286106716,7.35985642580302,6.62635030534445,7.16590690612793,188994643
2000-01-27,EBAY,7.02299752065902,7.21548869166898,6.92383567141212,7.18340682983398,61430054
2000-01-28,EBAY,7.04633031392407,7.13965836875549,6.76634318875591,6.88592100143433,46461254
2000-01-31,EBAY,6.81300803892335,7.12216080012115,6.76634400587241,7.00258255004883,38827642
2000-02-01,EBAY,6.92966913986537,7.16299140433112,6.91800323811881,7.04341316223145,27274579
2000-02-02,EBAY,7.0900787530777,7.29715212506584,6.96175170615711,7.04633140563965,28956787
2000-02-03,EBAY,7.24465269458601,7.76379492742981,7.18632235374483,7.69963121414185,82131667
2000-02-04,EBAY,7.46630986447866,7.99128474378158,7.44297806117522,7.84254217147827,73792858
2000-02-07,EBAY,7.71712964088242,8.0029496644998,7.64421671481949,7.91253662109375,32028480
2000-02-08,EBAY,8.04378160401983,8.16627567141857,7.81629274255171,7.92128753662109,47362234
2000-02-09,EBAY,7.88629069156743,7.88920737873611,7.52464093851091,7.65296840667725,33665069
2000-02-10,EBAY,7.62963540693157,7.71129926029876,7.38464807636456,7.57713842391968,32497978
2000-02-11,EBAY,7.59463572350734,7.60630246861287,7.08132727673867,7.15715646743774,22906541
2000-02-14,EBAY,7.19798931977719,7.44589502604945,7.07841276599922,7.19215679168701,30281645
2000-02-15,EBAY,7.12215959209763,7.20965511505026,6.72259509672434,6.92966842651367,49434106
2000-02-16,EBAY,6.92383558014982,6.92383558014982,6.53302113875075,6.56510257720947,32832518
2000-02-17,EBAY,6.59718404981038,6.78384225692189,6.56218592675742,6.77800846099854,43338240
2000-02-18,EBAY,6.79550795646772,6.81300638304788,6.39302722698945,6.40469312667847,26474342
2000-02-22,EBAY,6.49510581941964,6.59718392308611,6.18886981660675,6.27636575698853,37599725
2000-02-23,EBAY,6.52135589627172,7.37298196116788,6.49802324656834,7.23007106781006,80787802
2000-02-24,EBAY,7.18632468280383,7.65296840667725,7.01716570904333,7.65296840667725,61507987
2000-02-25,EBAY,7.57130536551739,7.61796897119024,6.99966562218924,7.03758001327515,32745082
2000-02-28,EBAY,6.90341990832626,7.02591440874007,6.66718139078885,6.76925992965698,45594490
2000-02-29,EBAY,6.81884208863952,6.94133576149602,6.463025704166,6.69051504135132,30705523
2000-03-01,EBAY,6.9034188603078,7.25340218774415,6.78967486045185,6.96466588973999,57881261
2000-03-02,EBAY,6.87425375933013,7.16299006029842,6.7575930719404,7.00549745559692,23434963
2000-03-03,EBAY,7.01716410687743,7.16590623649621,6.71967857877974,6.97633218765259,20302445
2000-03-06,EBAY,6.9879981093092,7.69963104327093,6.97049841531053,7.53922176361084,53473306
2000-03-07,EBAY,7.7521290739541,7.85129049560534,7.49547419128949,7.59755229949951,45957542
2000-03-08,EBAY,7.65005121580885,8.63292143480152,7.41964563325786,8.586256980896,88556371
2000-03-09,EBAY,8.44043156482283,8.58042579433333,8.16627817248118,8.51626205444336,66356928
2000-03-10,EBAY,8.3704343213779,9.50204716227183,8.29460468649349,9.01790332794189,96406675
2000-03-13,EBAY,8.58917164678395,10.3595029457398,8.44042825913776,9.78786373138428,118879834
2000-03-14,EBAY,10.1115983444999,10.4761638362018,9.7528653795867,9.84619426727295,67465094
2000-03-15,EBAY,10.1378470690423,10.1378470690423,8.65625242239802,8.8436393737793,82553645
2000-03-16,EBAY,8.92748974364702,10.2661753215387,8.59792191637934,10.2428426742554,92952922
2000-03-17,EBAY,10.15534861002,10.4499179071225,9.84619587879217,10.2165956497192,42836429
2000-03-20,EBAY,10.2457631113502,10.2457631113502,9.09956743592548,9.15206527709961,53800243
2000-03-21,EBAY,9.14914889103498,10.0795206168925,8.86624542569982,10.0095243453979,51817709
2000-03-22,EBAY,9.89286178870087,11.2111315672673,9.75286757968422,10.8553152084351,74627309
2000-03-23,EBAY,10.7299038558735,11.1528006094051,10.4178361271396,10.4324178695679,56345414
2000-03-24,EBAY,10.7415709735758,11.6544440800885,10.6074109870864,11.374457359314,78854688
2000-03-27,EBAY,11.2023825380111,11.8994326781186,11.0040588151254,11.1907157897949,48873370
2000-03-28,EBAY,11.2927905707088,11.5268427947796,10.4061670314725,10.4440822601318,47383142
2000-03-29,EBAY,10.3886709844737,10.4411679642892,9.23955895955362,9.28622341156006,72103046
2000-03-30,EBAY,9.09956328148082,9.77328146237791,8.95957079407819,9.66536998748779,64509350
2000-03-31,EBAY,9.37663253850599,9.42621281512358,8.16044134620152,8.21293830871582,131387098
2000-04-03,EBAY,8.35876912018609,8.52792768079807,6.63801748659582,6.68468236923218,121061952
2000-04-04,EBAY,6.92383536404125,7.97961795626412,6.12470638624443,7.79296016693115,158562835
2000-04-05,EBAY,7.54213922407397,8.76124733692888,7.2767351368011,7.74337959289551,78987744
2000-04-06,EBAY,7.98836690731542,8.51625924344781,7.9037880751283,8.49292659759521,108284774
2000-04-07,EBAY,8.35293227184715,8.60958627041684,8.17794040933207,8.44042778015137,59808672
2000-04-10,EBAY,8.3470989186713,8.3470989186713,7.23298572172921,7.26506757736206,72142963
2000-04-11,EBAY,7.20965662120542,7.69963385145803,7.13965951149492,7.25923776626587,80641440
2000-04-12,EBAY,7.32704649811808,7.4546447965558,6.64384973771165,6.69051504135132,71684870
2000-04-13,EBAY,6.98799997206684,7.33798252559355,6.43969243481083,6.47760725021362,88786368
2000-04-14,EBAY,6.47469032486342,6.7780088171028,6.23553513208438,6.51260471343994,137591309
2000-04-17,EBAY,6.17137288976724,6.85967345861264,6.15970656336977,6.68468236923218,104355821
2000-04-18,EBAY,6.66061991693292,7.60630451970449,6.65551613752633,7.6033878326416,62477395
2000-04-19,EBAY,7.46630791315567,7.65296567442756,6.99966393292927,7.01424694061279,52865050
2000-04-20,EBAY,7.18049094641216,7.27381985566241,6.64384929526977,7.01133155822754,37223366
2000-04-24,EBAY,6.85675576751929,6.88300467923676,5.8651359941116,6.62051725387573,53819251
2000-04-25,EBAY,6.67884728367242,7.27673592814812,6.5621865799153,7.16590690612793,93909024
2000-04-26,EBAY,7.51880626391922,7.52755547702095,6.90633512369059,6.96466588973999,120961210
2000-04-27,EBAY,6.77217395963503,7.64421564810358,6.67884508893543,7.5567193031311,72620064
2000-04-28,EBAY,7.55380592731524,7.60630375142381,7.29423433944749,7.42839431762695,56408141
2000-05-01,EBAY,7.43714542354146,7.44297795132781,7.16299124037753,7.26215267181396,44410291
2000-05-02,EBAY,7.16882467572786,7.18632479902296,6.6846820898731,6.69051504135132,37835424
2000-05-03,EBAY,6.68468015149931,6.82467306114985,6.29386532557509,6.53302049636841,48483706
2000-05-04,EBAY,6.61468506733824,6.78384447982955,6.21803756898345,6.39011240005493,58010515
2000-05-05,EBAY,6.32886416244903,6.48635593925755,6.14220636455038,6.25303411483765,56560205
2000-05-08,EBAY,6.17137175541741,6.29969920743436,5.97304804969557,5.99637985229492,28707782
2000-05-09,EBAY,6.04887724120756,6.06637651484974,5.46848790805111,5.65514612197876,62082029
2000-05-10,EBAY,5.52681847798147,5.64639627957817,5.13600405957332,5.1797513961792,72677088
2000-05-11,EBAY,5.3401607453036,5.58806598739031,5.24974896178123,5.49473667144775,57025901
2000-05-12,EBAY,5.55306825235657,5.80972274557453,5.52390307477471,5.66097974777222,40688525
2000-05-15,EBAY,5.63473082058089,5.9701320537768,5.38390970184724,5.94971609115601,32600621
2000-05-16,EBAY,5.96138120847948,6.43969203624514,5.92638308217894,6.29386615753174,65718259
2000-05-17,EBAY,6.12470724886347,6.22386910767447,5.89138540228902,5.97888135910034,37115021
2000-05-18,EBAY,6.0430448636209,6.15387262029893,5.78639037671055,5.789306640625,34157376
2000-05-19,EBAY,5.6288968804538,5.75722389272439,5.40724055523181,5.51515245437622,33722093
2000-05-22,EBAY,5.5589001959131,6.51843715596433,5.10975501991293,6.35511159896851,91103443
2000-05-23,EBAY,6.13637244641237,6.25303312874849,5.40724022113822,5.41307401657104,97720128
2000-05-24,EBAY,5.44807331096175,6.11595780687759,5.29641362991997,6.06346082687378,99406138
2000-05-25,EBAY,6.11304009445402,6.2996978589202,5.64639568328857,5.64639568328857,41037322
2000-05-26,EBAY,5.74555902959834,5.92638303311526,5.45973895623542,5.78055715560913,19943194
2000-05-30,EBAY,5.96138229051226,6.26470211887652,5.92638415785932,6.25449371337891,25800509
2000-05-31,EBAY,6.20782875319144,6.36969599138658,5.83305437168001,5.83888816833496,24047021
2000-06-01,EBAY,5.98471492672773,6.42802770746036,5.93221709345982,6.2880334854126,39836966
2000-06-02,EBAY,6.70801334162585,7.20965646391721,6.59135262252941,7.20382308959961,47443968
2000-06-05,EBAY,6.97633215337953,7.4021451182518,6.87133736114402,7.04049587249756,36101894
2000-06-06,EBAY,7.06966165961102,7.16299098285924,6.70217943191528,6.70217943191528,27961718
2000-06-07,EBAY,6.64968259302834,7.05799722671509,6.34636404510554,7.05799722671509,31277664
2000-06-08,EBAY,7.08716250912585,7.09299546060406,6.62635130623048,6.69051504135132,20769091
2000-06-09,EBAY,6.87717082825478,6.95300129902806,6.65551532707081,6.83050680160522,21223382
2000-06-12,EBAY,6.83633960314077,6.83633960314077,6.20636997017776,6.23553514480591,37085558
2000-06-13,EBAY,6.32303084269168,6.39886089094637,6.00804644049562,6.34636306762695,22316342
2000-06-14,EBAY,6.31136579779608,6.31136579779608,5.83305491026656,5.8563871383667,43629062
2000-06-15,EBAY,5.95554913214755,6.08970911991101,5.84472137133688,5.97888135910034,27410486
2000-06-16,EBAY,5.99054788459071,5.99054788459071,5.59973293671746,5.70472860336304,33910272
2000-06-19,EBAY,5.6638962660944,5.70472819326807,5.50640362335467,5.58806705474854,22615718
2000-06-20,EBAY,5.80972262170844,6.12470704042106,5.73972636618571,5.81555557250977,32274634
2000-06-21,EBAY,5.77472445617343,5.78639035769977,5.66972880471582,5.76305770874023,14853802
2000-06-22,EBAY,5.79805668658117,5.80972301192083,5.37224363632292,5.43057441711426,48765974
